id_vente,date,heure,id_produit,nom_produit,prix_produit,categorie_produit,quantite,pays,ville,methode_paiement,statut_commande,satisfaction_client
V000058,2023-06-23,17:48:00,P004,Casque audio sans fil,149.99,Électronique,5,France,Ville_11_France,PayPal,En cours de traitement,5
V000059,2023-02-18,00:58:00,P004,Casque audio sans fil,149.99,Électronique,4,France,Ville_16_France,Virement bancaire,En cours de traitement,2
V000060,2023-07-28,09:48:00,P017,Stylo de luxe,49.99,Papeterie,2,France,Ville_23_France,Apple Pay,En cours de traitement,1
V000061,2023-03-19,06:47:00,P004,Casque audio sans fil,149.99,Électronique,2,Belgique,Ville_14_Belgique,PayPal,Annulée,2
V000062,2023-09-22,17:50:00,P013,Sac à dos,39.99,Accessoires,4,Italie,Ville_5_Italie,Carte de crédit,Expédiée,3
V000063,2023-09-19,16:34:00,P020,Jeu de société,29.99,Loisirs,5,Italie,Ville_17_Italie,Apple Pay,Annulée,4
V000064,2023-06-12,18:53:00,P011,Roman bestseller,14.99,Livres,1,France,Ville_28_France,Apple Pay,Expédiée,1
V000065,2023-09-06,08:20:00,P017,Stylo de luxe,49.99,Papeterie,1,Pays-Bas,Ville_37_Pays-Bas,Apple Pay,En cours de traitement,2
V000066,2023-08-13,03:50:00,P015,Mixeur,34.99,Électroménager,1,France,Ville_40_France,Apple Pay,Annulée,5
V000067,2023-08-25,12:37:00,P003,Livre de cuisine,24.99,Livres,2,Espagne,Ville_40_Espagne,PayPal,En cours de traitement,2
X000068,2023-04-16,02:13:00,P009,Aspirateur robot,199.99,Électroménager,5,Royaume-Uni,Ville_16_Royaume-Uni,Google Pay,Livrée,2
V000069,2023-09-30,14:55:00,P007,Tablette,299.99,Électronique,2,Espagne,Ville_47_Espagne,Google Pay,Annulée,5
V000070,2023-02-14,19:25:00,P016,Tapis de yoga,29.99,Sport,3,France,Ville_21_France,Google Pay,Annulée,1
V000071,2023-11-18,14:33:00,P001,Smartphone,499.99,Électronique,4,Pays-Bas,Ville_10_Pays-Bas,Carte de crédit,En cours de traitement,4
V000072,2023-10-02,01:13:00,P010,Montre connectée,129.99,Électronique,4,Allemagne,Ville_11_Allemagne,Virement bancaire,Livrée,5
V000073,2023-05-24,18:44:00,P014,Appareil photo numérique,349.99,Électronique,1,Suisse,Ville_16_Suisse,Carte de crédit,Expédiée,4
V000074,2023-12-05,06:45:00,P010,Montre connectée,129.99,Électronique,2,France,Ville_21_France,PayPal,En cours de traitement,4
V000075,2023-09-12,05:19:00,P004,Casque audio sans fil,149.99,Électronique,2,France,Ville_46_France,Apple Pay,En cours de traitement,4
V000076,2023-05-29,10:23:00,P013,Sac à dos,39.99,Accessoires,2,France,Ville_29_France,Apple Pay,Annulée,3
V000077,2023-11-19,00:42:00,P013,Sac à dos,39.99,Accessoires,5,France,Ville_37_France,PayPal,Annulée,3
V000078,2023-06-06,22:38:00,P006,Machine à café,79.99,Électroménager,4,France,Ville_33_France,Carte de crédit,Livrée,4
V000079,2023-05-28,14:26:00,P005,T-shirt,19.99,Vêtements,2,France,Ville_10_France,Carte de crédit,Annulée,2
V000080,2023-09-14,04:08:00,P016,Tapis de yoga,29.99,Sport,2,France,Ville_27_France,PayPal,Expédiée,3
V000081,2023-11-02,16:50:00,P013,Sac à dos,39.99,Accessoires,3,France,Ville_12_France,Google Pay,Livrée,5
V000082,2023-11-11,03:55:00,P015,Mixeur,34.99,Électroménager,4,France,Ville_8_France,Carte de crédit,Expédiée,4
V000083,2023-12-25,20:02:00,P014,Appareil photo numérique,349.99,Électronique,2,Portugal,Ville_2_Portugal,Carte de crédit,Livrée,5
V000084,2023-08-08,15:55:00,P010,Montre connectée,129.99,Électronique,1,France,Ville_1_France,Carte de crédit,Annulée,1
V000085,2023-01-20,06:15:00,P018,Parfum,69.99,Beauté,1,France,Ville_19_France,Carte de crédit,Annulée,2
V000086,2023-08-18,05:21:00,P017,Stylo de luxe,49.99,Papeterie,5,France,Ville_36_France,Carte de crédit,Livrée,2
V000087,2023-10-20,18:50:00,P006,Machine à café,79.99,Électroménager,3,France,Ville_1_France,Google Pay,Annulée,4
V000088,2023-09-24,16:51:00,P003,Livre de cuisine,24.99,Livres,3,France,Ville_23_France,Apple Pay,En cours de traitement,1
V000089,2023-10-23,21:11:00,P015,Mixeur,34.99,Électroménager,4,Italie,Ville_21_Italie,Google Pay,Livrée,10
V000090,2023-10-11,14:28:00,P001,Smartphone,499.99,Électronique,4,France,Ville_7_France,Google Pay,Expédiée,2
V000091,2023-07-08,18:35:00,P011,Roman bestseller,14.99,Livres,4,Espagne,Ville_41_Espagne,Virement bancaire,Annulée,4
V000092,2023-04-07,16:36:00,P008,Chaussures de sport,89.99,Vêtements,4,Espagne,Ville_7_Espagne,Google Pay,Annulée,4
V000093,2023-07-21,05:07:00,P006,Machine à café,79.99,Électroménager,4,Pays Inconnu,Ville_30_Belgique,PayPal,Expédiée,1
V000094,2023-09-14,23:01:00,P001,Smartphone,499.99,Électronique,3,France,Ville_34_France,Apple Pay,Annulée,3
V000095,2023-03-27,04:00:00,P016,Tapis de yoga,29.99,Sport,2,France,Ville_28_France,Google Pay,Expédiée,4
V000096,2023-12-07,09:54:00,P017,Stylo de luxe,49.99,Papeterie,3,France,Ville_7_France,Google Pay,Livrée,5
V000097,2023-12-04,16:21:00,P011,Roman bestseller,14.99,Livres,5,France,Ville_23_France,Apple Pay,En cours de traitement,4
V000098,2023-01-16,19:25:00,P004,Casque audio sans fil,149.99,Électronique,5,France,Ville_41_France,Apple Pay,Expédiée,4
V000099,2023-08-02,02:37:00,P007,Tablette,299.99,Électronique,2,Suisse,Ville_36_Suisse,Carte de crédit,Annulée,5
V000100,2023-01-21,01:02:00,P008,Chaussures de sport,89.99,Vêtements,3,France,Ville_13_France,Virement bancaire,En cours de traitement,3
V000101,2023-05-06,20:51:00,P015,Mixeur,34.99,Électroménager,3,France,Ville_30_France,Virement bancaire,Livrée,1
V000102,2023-12-11,17:55:00,P011,Roman bestseller,14.99,Livres,3,Belgique,Ville_37_Belgique,Carte de crédit,Expédiée,2
V000103,2023-09-28,16:36:00,P014,Appareil photo numérique,349.99,Électronique,2,France,Ville_27_France,PayPal,Annulée,3
V000104,2023-03-01,03:31:00,P018,Parfum,69.99,Beauté,2,Pays-Bas,Ville_27_Pays-Bas,Apple Pay,Livrée,3
V000105,2023-11-26,14:00:00,P011,Roman bestseller,14.99,Livres,5,France,Ville_44_France,Apple Pay,En cours de traitement,3
V000106,2023-09-15,13:07:00,P015,Mixeur,34.99,Électroménager,5,France,Ville_36_France,Apple Pay,Annulée,2
V000107,2023-08-12,09:00:00,P007,Tablette,299.99,Électronique,1,Allemagne,Ville_28_Allemagne,PayPal,Annulée,5
V000108,2023-07-25,00:34:00,P011,Roman bestseller,14.99,Livres,5,Royaume-Uni,Ville_30_Royaume-Uni,Carte de crédit,Expédiée,4
V000109,2023-12-10,18:07:00,P019,Couverture chauffante,44.99,Maison,5,Espagne,Ville_10_Espagne,Google Pay,Expédiée,2
V000110,2023-05-25,17:06:00,P009,Aspirateur robot,199.99,Électroménager,2,Pays-Bas,Ville_17_Pays-Bas,Virement bancaire,Annulée,1
V000111,2023-11-28,20:01:00,P005,T-shirt,19.99,Vêtements,3,Suisse,Ville_50_Suisse,Virement bancaire,Annulée,2
V000112,2023-10-08,16:53:00,P017,Stylo de luxe,49.99,Papeterie,0,Italie,Ville_46_Italie,PayPal,Expédiée,1
V000113,2023-03-24,18:25:00,P008,Chaussures de sport,89.99,Vêtements,3,France,Ville_11_France,Virement bancaire,Expédiée,4
X000114,2023-11-13,05:19:00,P019,Couverture chauffante,44.99,Maison,3,France,Ville_29_France,Virement bancaire,Annulée,5
V000115,2023-01-13,05:56:00,P002,Ordinateur portable,899.99,Catégorie Invalide,1,France,Ville_46_France,Apple Pay,En cours de traitement,3
V000116,2023-06-08,13:29:00,P018,Parfum,69.99,Beauté,4,Royaume-Uni,Ville_37_Royaume-Uni,Carte de crédit,En cours de traitement,2
V000117,2023-07-16,20:39:00,P004,Casque audio sans fil,149.99,Électronique,3,France,Ville_2_France,Apple Pay,Livrée,1
V000118,2023-10-28,17:50:00,P018,Parfum,69.99,Beauté,2,France,Ville_50_France,Apple Pay,Expédiée,5
V000119,2023-09-18,18:37:00,P003,Livre de cuisine,24.99,Livres,5,France,Ville_8_France,Apple Pay,Annulée,2
V000120,2023-12-15,18:05:00,P009,Aspirateur robot,199.99,Électroménager,2,Italie,Ville_6_Italie,Google Pay,Expédiée,4
V000121,2023-04-30,04:53:00,P016,Tapis de yoga,29.99,Sport,4,Italie,Ville_13_Italie,Google Pay,Livrée,1
V000122,2023-08-03,23:37:00,P001,Smartphone,499.99,Électronique,1,Royaume-Uni,Ville_21_Royaume-Uni,Google Pay,Annulée,2
V000123,2023-09-08,22:31:00,P014,Appareil photo numérique,349.99,Électronique,2,France,Ville_13_France,PayPal,En cours de traitement,5
V000124,2023-06-12,18:24:00,P002,Ordinateur portable,899.99,Électronique,5,Espagne,Ville_34_Espagne,Virement bancaire,En cours de traitement,4
V000125,2023-02-04,16:54:00,P006,Machine à café,79.99,Électroménager,1,France,Ville_37_France,Apple Pay,En cours de traitement,1
V000126,2023-10-05,12:16:00,P002,Ordinateur portable,899.99,Électronique,3,Pays-Bas,Ville_45_Pays-Bas,Virement bancaire,Livrée,4
V000127,2023-04-19,02:37:00,P001,Smartphone,499.99,Électronique,5,Espagne,Ville_28_Espagne,Carte de crédit,Livrée,5
V000128,2023-09-24,09:40:00,P008,Chaussures de sport,89.99,Vêtements,3,France,Ville_12_France,Virement bancaire,Annulée,5
V000129,2023-10-18,02:13:00,P005,T-shirt,19.99,Vêtements,1,Allemagne,Ville_30_Allemagne,PayPal,En cours de traitement,3
V000130,2023-05-29,14:34:00,P017,Stylo de luxe,49.99,Papeterie,3,France,Ville_29_France,Google Pay,En cours de traitement,1
V000131,2023-04-08,22:31:00,P013,Sac à dos,39.99,Accessoires,1,France,Ville_11_France,Virement bancaire,Expédiée,1
V000132,2023-07-07,08:14:00,P002,Ordinateur portable,899.99,Électronique,4,Autriche,Ville_3_Autriche,Google Pay,En cours de traitement,4
V000133,2023-05-29,08:18:00,P017,Stylo de luxe,49.99,Papeterie,2,France,Ville_25_France,Virement bancaire,Livrée,2
V000134,2023-06-11,13:19:00,P003,Livre de cuisine,24.99,Livres,3,France,Ville_18_France,Carte de crédit,En cours de traitement,5
V000135,2023-01-07,13:09:00,P005,T-shirt,19.99,Vêtements,2,France,Ville_29_France,Apple Pay,En cours de traitement,5
V000136,2023-11-20,09:10:00,P020,Jeu de société,29.99,Loisirs,4,France,Ville_48_France,Virement bancaire,Livrée,5
V000137,2023-11-21,09:58:00,P013,Sac à dos,39.99,Accessoires,2,Allemagne,Ville_50_Allemagne,PayPal,Annulée,3
V000138,2023-12-01,06:46:00,P007,Tablette,299.99,Électronique,1,France,Ville_33_France,PayPal,Livrée,5
V000139,2023-09-29,07:30:00,P007,Tablette,299.99,Électronique,5,Allemagne,Ville_29_Allemagne,Carte de crédit,En cours de traitement,2
V000140,2023-07-20,13:00:00,P012,Enceinte Bluetooth,59.99,Électronique,5,France,Ville_33_France,Google Pay,Expédiée,1
V000141,2023-12-20,01:03:00,P018,Parfum,69.99,Beauté,4,France,Ville_25_France,Apple Pay,En cours de traitement,3
V000142,2023-12-09,22:32:00,P019,Couverture chauffante,44.99,Maison,4,France,Ville_5_France,Virement bancaire,Expédiée,4
V000143,2023-10-01,10:06:00,P007,Tablette,299.99,Électronique,4,Belgique,Ville_37_Belgique,Google Pay,Livrée,2
V000144,2023-06-18,20:31:00,P019,Couverture chauffante,44.99,Maison,4,Royaume-Uni,Ville_47_Royaume-Uni,PayPal,Annulée,4
V000145,2023-10-26,08:32:00,P006,Machine à café,79.99,Électroménager,2,Allemagne,Ville_37_Allemagne,Apple Pay,En cours de traitement,4
V000146,2023-10-22,22:24:00,P020,Jeu de société,29.99,Loisirs,5,France,Ville_31_France,Virement bancaire,Livrée,5
V000147,2023-11-07,22:25:00,P008,Chaussures de sport,89.99,Vêtements,2,Italie,Ville_2_Italie,Virement bancaire,Annulée,3
V000148,2023-12-12,20:52:00,P002,Ordinateur portable,899.99,Électronique,3,France,Ville_36_France,Carte de crédit,Expédiée,5
V000149,2023-10-27,13:20:00,P009,Aspirateur robot,199.99,Électroménager,1,Italie,Ville_44_Italie,Virement bancaire,Expédiée,1
V000150,2023-05-21,12:13:00,P011,Roman bestseller,14.99,Livres,1,Italie,Ville_16_Italie,PayPal,Annulée,2
V000151,2023-09-15,19:58:00,P010,Montre connectée,129.99,Électronique,3,France,Ville_42_France,Apple Pay,Annulée,1
V000152,2023-04-12,22:43:00,P009,Aspirateur robot,199.99,Électroménager,2,Suisse,Ville_25_Suisse,Carte de crédit,Livrée,3
V000153,2023-02-11,18:03:00,P011,Roman bestseller,14.99,Livres,4,France,Ville_41_France,PayPal,Livrée,1
V000154,2023-01-01,15:18:00,P013,Sac à dos,39.99,Accessoires,5,Autriche,Ville_32_Autriche,PayPal,En cours de traitement,2
V000155,2023-03-06,02:25:00,P013,Sac à dos,39.99,Accessoires,1,France,Ville_35_France,Carte de crédit,Annulée,2
V000156,2023-02-04,01:44:00,P001,Smartphone,499.99,Électronique,5,France,Ville_20_France,Carte de crédit,Livrée,5
V000157,2023-06-16,13:35:00,P009,Aspirateur robot,199.99,Électroménager,0,Allemagne,Ville_35_Allemagne,Apple Pay,Livrée,1
V000158,2023-07-21,11:02:00,P009,Aspirateur robot,199.99,Électroménager,3,France,Ville_3_France,Apple Pay,Annulée,1
V000159,2023-11-09,23:13:00,P018,Parfum,69.99,Beauté,0,Espagne,Ville_50_Espagne,Apple Pay,Annulée,4
V000160,2023-03-09,05:16:00,P015,Mixeur,34.99,Électroménager,5,Espagne,Ville_25_Espagne,Carte de crédit,Livrée,2
V000161,2023-06-15,19:31:00,P009,Aspirateur robot,199.99,Électroménager,4,Allemagne,Ville_34_Allemagne,PayPal,En cours de traitement,3
V000162,2023-10-20,20:14:00,P002,Ordinateur portable,899.99,Électronique,4,Allemagne,Ville_19_Allemagne,Apple Pay,Expédiée,2
V000163,2023-02-21,02:37:00,P010,Montre connectée,129.99,Électronique,3,Pays Inconnu,Ville_45_France,Google Pay,Livrée,2
V000164,2023-03-22,20:14:00,P010,Montre connectée,129.99,Électronique,3,France,Ville_3_France,Carte de crédit,Livrée,2
V000165,2023-08-25,05:47:00,P003,Livre de cuisine,24.99,Livres,2,France,Ville_9_France,Virement bancaire,Livrée,5
X000166,2023-07-04,08:18:00,P014,Appareil photo numérique,349.99,Électronique,4,France,Ville_47_France,Carte de crédit,En cours de traitement,5
V000167,2023-07-28,20:14:00,P001,Smartphone,499.99,Électronique,1,France,Ville_43_France,PayPal,Expédiée,10
V000168,2023-02-05,17:41:00,P012,Enceinte Bluetooth,-59.99,Électronique,2,Espagne,Ville_29_Espagne,Google Pay,Expédiée,2
V000169,2023-08-25,11:07:00,P004,Casque audio sans fil,149.99,Électronique,3,Belgique,Ville_47_Belgique,Virement bancaire,Expédiée,4
V000170,2023-05-28,16:49:00,P001,Smartphone,499.99,Électronique,3,France,Ville_32_France,Virement bancaire,Expédiée,1
V000171,2023-04-09,09:17:00,P013,Sac à dos,39.99,Accessoires,2,Espagne,Ville_42_Espagne,Virement bancaire,Expédiée,5
V000172,2023-06-24,12:16:00,P017,Stylo de luxe,49.99,Papeterie,2,France,Ville_43_France,PayPal,Livrée,1
V000173,2023-08-27,21:21:00,P002,Ordinateur portable,899.99,Électronique,5,Espagne,Ville_26_Espagne,Carte de crédit,Expédiée,4
V000174,2023-11-30,14:16:00,P009,Aspirateur robot,-199.99,Électroménager,4,France,Ville_20_France,Virement bancaire,Annulée,4
V000175,2023-08-30,21:43:00,P011,Roman bestseller,14.99,Livres,4,France,Ville_31_France,Apple Pay,Expédiée,2
V000176,2023-01-28,05:14:00,P019,Couverture chauffante,44.99,Maison,5,France,Ville_34_France,Virement bancaire,Expédiée,2
V000177,2023-07-06,20:46:00,P008,Chaussures de sport,89.99,Vêtements,2,Allemagne,Ville_26_Allemagne,Carte de crédit,Livrée,5
V000178,2023-03-15,20:33:00,P008,Chaussures de sport,89.99,Vêtements,5,France,Ville_42_France,Carte de crédit,En cours de traitement,3
X000179,2023-07-16,23:08:00,P003,Livre de cuisine,24.99,Livres,4,France,Ville_30_France,Google Pay,Expédiée,2
V000180,2023-03-28,12:29:00,P002,Ordinateur portable,899.99,Électronique,2,France,Ville_44_France,Virement bancaire,Expédiée,1
V000181,2023-01-25,02:30:00,P014,Appareil photo numérique,349.99,Électronique,4,France,Ville_44_France,Google Pay,Expédiée,4
V000182,2023-07-20,07:13:00,P017,Stylo de luxe,49.99,Papeterie,2,Espagne,Ville_4_Espagne,PayPal,Livrée,1
V000183,2023-05-26,16:34:00,P018,Parfum,69.99,Beauté,3,France,Ville_8_France,Google Pay,En cours de traitement,5
V000184,2023-09-12,21:15:00,P006,Machine à café,79.99,Électroménager,3,France,Ville_50_France,Virement bancaire,En cours de traitement,4
V000185,2023-09-07,08:41:00,P013,Sac à dos,39.99,Accessoires,1,Belgique,Ville_15_Belgique,Carte de crédit,Annulée,3
V000186,2023-07-21,04:51:00,P003,Livre de cuisine,24.99,Livres,1,Autriche,Ville_20_Autriche,Virement bancaire,En cours de traitement,2
V000187,2023-12-17,22:18:00,P008,Chaussures de sport,89.99,Vêtements,4,Espagne,Ville_46_Espagne,Google Pay,Livrée,5
V000188,2023-07-21,21:17:00,P015,Mixeur,34.99,Électroménager,2,Espagne,Ville_15_Espagne,Virement bancaire,Annulée,1
V000189,2023-01-04,13:33:00,P006,Machine à café,79.99,Électroménager,4,Allemagne,Ville_9_Allemagne,Carte de crédit,Expédiée,3
V000190,2023-12-03,05:12:00,P018,Parfum,69.99,Beauté,2,Espagne,Ville_9_Espagne,PayPal,Annulée,5
V000191,2023-09-27,21:18:00,P012,Enceinte Bluetooth,59.99,Électronique,1,France,Ville_9_France,Apple Pay,Livrée,4
V000192,2023-03-02,05:28:00,P002,Ordinateur portable,899.99,Électronique,4,France,Ville_41_France,PayPal,En cours de traitement,2
V000193,2023-03-28,11:51:00,P008,Chaussures de sport,89.99,Vêtements,3,France,Ville_4_France,Google Pay,Expédiée,3
V000194,2023-02-08,02:33:00,P019,Couverture chauffante,44.99,Maison,5,Allemagne,Ville_45_Allemagne,Virement bancaire,En cours de traitement,3
V000195,2023-01-27,08:10:00,P011,Roman bestseller,14.99,Livres,2,Espagne,Ville_28_Espagne,PayPal,Expédiée,2
V000196,2023-01-04,00:05:00,P010,Montre connectée,129.99,Électronique,3,France,Ville_47_France,PayPal,Livrée,3
V000197,2023-10-29,02:00:00,P013,Sac à dos,39.99,Accessoires,3,Suisse,Ville_2_Suisse,Google Pay,Livrée,5
V000198,2023-04-18,17:55:00,P017,Stylo de luxe,49.99,Papeterie,3,Suisse,Ville_14_Suisse,Apple Pay,Expédiée,3
V000199,2023-07-20,12:13:00,P018,Parfum,69.99,Beauté,1,Espagne,Ville_28_Espagne,Carte de crédit,En cours de traitement,5
V000200,2023-09-06,21:53:00,P010,Montre connectée,129.99,Électronique,4,France,Ville_6_France,Carte de crédit,En cours de traitement,5
V000201,2023-02-18,05:14:00,P017,Stylo de luxe,49.99,Papeterie,4,France,Ville_16_France,Virement bancaire,Annulée,3
V000202,2023-08-14,15:38:00,P011,Roman bestseller,14.99,Livres,0,Espagne,Ville_25_Espagne,Google Pay,En cours de traitement,5
V000203,2023-10-08,19:11:00,P015,Mixeur,34.99,Électroménager,4,France,Ville_45_France,Virement bancaire,Expédiée,5
V000204,2023-02-26,23:00:00,P008,Chaussures de sport,89.99,Vêtements,2,France,Ville_45_France,Virement bancaire,En cours de traitement,1
V000205,2023-10-12,05:11:00,P011,Roman bestseller,14.99,Livres,5,Belgique,Ville_42_Belgique,Apple Pay,Annulée,3
V000206,2023-07-22,03:00:00,P013,Sac à dos,39.99,Accessoires,1,Belgique,Ville_25_Belgique,Carte de crédit,Annulée,4
